name,scientific_name,ioc_scientific_name
Mute Swan,Cygnus olor,
Bewick's Swan,Cygnus columbianus,
Whooper Swan,Cygnus cygnus,
Bean Goose,Anser fabalis,
Pink-footed Goose,Anser brachyrhynchus,
White-fronted Goose,Anser albifrons,
Lesser White-fronted Goose,Anser erythropus,
Greylag Goose,Anser anser,
Snow Goose,Anser caerulescens,
Canada Goose,Branta canadensis,
Cackling Goose,Branta hutchinsii,
Barnacle Goose,Branta leucopsis,
Brent Goose,Branta bernicla,
Red-breasted Goose,Branta ruficollis,
Egyptian Goose,Alopochen aegyptiaca,
Ruddy Shelduck,Tadorna ferruginea,
Shelduck,Tadorna tadorna,
Mandarin Duck,Aix galericulata,
Wigeon,Anas penelope,
American Wigeon,Anas americana,
Gadwall,Anas strepera,
Baikal Teal,Anas formosa,
Teal,Anas crecca,
Green-winged Teal,Anas carolinensis,
Mallard,Anas platyrhynchos,
Black Duck,Anas rubripes,
Pintail,Anas acuta,
Garganey,Anas querquedula,
Blue-winged Teal,Anas discors,
Shoveler,Anas clypeata,
Red-crested Pochard,Netta rufina,
Canvasback,Aythya valisineria,
Pochard,Aythya ferina,
Redhead,Aythya americana,
Ring-necked Duck,Aythya collaris,
Ferruginous Duck,Aythya nyroca,
Tufted Duck,Aythya fuligula,
Scaup,Aythya marila,
Lesser Scaup,Aythya affinis,
Eider,Somateria mollissima,
King Eider,Somateria spectabilis,
Steller's Eider,Polysticta stelleri,
Harlequin Duck,Histrionicus histrionicus,
Long-tailed Duck,Clangula hyemalis,
Common Scoter,Melanitta nigra,
Black Scoter,Melanitta americana,
Surf Scoter,Melanitta perspicillata,
Velvet Scoter,Melanitta fusca,
White-winged Scoter,Melanitta deglandi,
Bufflehead,Bucephala albeola,
Barrow's Goldeneye,Bucephala islandica,
Goldeneye,Bucephala clangula,
Hooded Merganser,Lophodytes cucullatus,
Smew,Mergellus albellus,
Red-breasted Merganser,Mergus serrator,
Goosander,Mergus merganser,
Ruddy Duck,Oxyura jamaicensis,
Quail,Coturnix coturnix,
Red-legged Partridge,Alectoris rufa,
Red Grouse,Lagopus lagopus,
Ptarmigan,Lagopus muta,
Black Grouse,Tetrao tetrix,Lyrurus tetrix
Capercaillie,Tetrao urogallus,
Grey Partridge,Perdix perdix,
Pheasant,Phasianus colchicus,
Lady Amherst's Pheasant,Chrysolophus amherstiae,
Golden Pheasant,Chrysolophus pictus,
Red-throated Diver,Gavia stellata,
Black-throated Diver,Gavia arctica,
Pacific Diver,Gavia pacifica,
Great Northern Diver,Gavia immer,
White-billed Diver,Gavia adamsii,
Black-browed Albatross,Thalassarche melanophris,
Yellow-nosed Albatross,Thalassarche chlororhynchos,
Fulmar,Fulmarus glacialis,
Fea's Petrel,Pterodroma feae,
Capped Petrel,Pterodroma hasitata,
Cory's Shearwater,Calonectris borealis,
Scopoli's Shearwater,Calonectris diomedea,
Great Shearwater,Puffinus gravis,Ardenna gravis
Sooty Shearwater,Puffinus griseus,Ardenna grisea
Manx Shearwater,Puffinus puffinus,
Yelkouan Shearwater,Puffinus yelkouan,
Balearic Shearwater,Puffinus mauretanicus,
Macaronesian Shearwater,Puffinus baroli,
Wilson's Petrel,Oceanites oceanicus,
Frigate Petrel,Pelagodroma marina,
Storm Petrel,Hydrobates pelagicus,
Leach's Petrel,Oceanodroma leucorhoa,
Swinhoe's Petrel,Oceanodroma monorhis,
Red-billed Tropicbird,Phaethon aethereus,
Gannet,Morus bassanus,
Red-footed Booby,Sula sula,
Cormorant,Phalacrocorax carbo,
Double-crested Cormorant,Phalacrocorax auritus,
Shag,Phalacrocorax aristotelis,
Ascension Frigatebird,Fregata aquila,
Magnificent Frigatebird,Fregata magnificens,
Bittern,Botaurus stellaris,
American Bittern,Botaurus lentiginosus,
Little Bittern,Ixobrychus minutus,
Night-heron,Nycticorax nycticorax,
Green Heron,Butorides virescens,
Squacco Heron,Ardeola ralloides,
Chinese Pond Heron,Ardeola bacchus,
Cattle Egret,Bubulcus ibis,
Snowy Egret,Egretta thula,
Little Egret,Egretta garzetta,
Great White Egret,Ardea alba,
Grey Heron,Ardea cinerea,
Great Blue Heron,Ardea herodias,
Purple Heron,Ardea purpurea,
Black Stork,Ciconia nigra,
White Stork,Ciconia ciconia,
Glossy Ibis,Plegadis falcinellus,
Spoonbill,Platalea leucorodia,
Pied-billed Grebe,Podilymbus podiceps,
Little Grebe,Tachybaptus ruficollis,
Great Crested Grebe,Podiceps cristatus,
Red-necked Grebe,Podiceps grisegena,
Slavonian Grebe,Podiceps auritus,
Black-necked Grebe,Podiceps nigricollis,
Honey-buzzard,Pernis apivorus,
Black Kite,Milvus migrans,
Red Kite,Milvus milvus,
White-tailed Eagle,Haliaeetus albicilla,
Egyptian Vulture,Neophron percnopterus,
Short-toed Eagle,Circaetus gallicus,
Marsh Harrier,Circus aeruginosus,
Hen Harrier,Circus cyaneus,
Northern Harrier,Circus hudsonius,
Pallid Harrier,Circus macrourus,
Montagu's Harrier,Circus pygargus,
Goshawk,Accipiter gentilis,
Sparrowhawk,Accipiter nisus,
Buzzard,Buteo buteo,
Rough-legged Buzzard,Buteo lagopus,
Spotted Eagle,Aquila clanga,Clanga clanga
Golden Eagle,Aquila chrysaetos,
Osprey,Pandion haliaetus,
Water Rail,Rallus aquaticus,
Spotted Crake,Porzana porzana,
Sora,Porzana carolina,
Purple Swamphen,Porphyrop porphyrio,Porphyrio porphyrio
Little Crake,Zapornia parva,Porzana parva
Baillon's Crake,Zapornia pusilla,Porzana pusilla
Corncrake,Crex crex,
Moorhen,Gallinula chloropus,
Allen's Gallinule,Porphyrio alleni,
Purple Gallinule,Porphyrio martinicus,Porphyrio martinica
Coot,Fulica atra,
American Coot,Fulica americana,
Crane,Grus grus,
Sandhill Crane,Grus canadensis,Antigone canadensis
Little Bustard,Tetrax tetrax,
Macqueen's Bustard,Chlamydotis macqueenii,
Great Bustard,Otis tarda,
Stone-curlew,Burhinus oedicnemus,
Black-winged Stilt,Himantopus himantopus,
Avocet Pied,Recurvirostra avosetta,
Oystercatcher,Haematopus ostralegus,
Grey Plover,Pluvialis squatarola,
Golden Plover,Pluvialis apricaria,
American Golden Plover,Pluvialis dominica,
Pacific Golden Plover,Pluvialis fulva,
Dotterel,Charadrius morinellus,
Killdeer,Charadrius vociferus,
Semipalmated Plover,Charadrius semipalmatus,
Ringed Plover,Charadrius hiaticula,
Little Ringed Plover,Charadrius dubius,
Sociable Plover,Vanellus gregarius,
White-tailed Plover,Vanellus leucurus,
Lapwing,Vanellus vanellus,
Caspian Plover,Anarhynchus asiaticus,Charadrius asiaticus
Greater Sand Plover,Anarhynchus leschenaultii,Charadrius leschenaultii
Lesser Sand Plover,Anarhynchus mongolus,Charadrius mongolus
Kentish Plover,Anarhynchus alexandrinus,Charadrius alexandrinus
Upland Sandpiper,Bartramia longicauda,
Little Whimbrel,Numenius minutus,
Eskimo Curlew,Numenius borealis,
Hudsonian Whimbrel,Numenius hudsonicus,Numenius phaeopus hudsonicus
Whimbrel,Numenius phaeopus,
Curlew,Numenius arquata,
Black-tailed Godwit,Limosa limosa,
Hudsonian Godwit,Limosa haemastica,
Bar-tailed Godwit,Limosa lapponica,
Turnstone,Arenaria interpres,
Great Knot,Calidris tenuirostris,
Knot,Calidris canutus,
Ruff,Calidris pugnax,
Sharp-tailed Sandpiper,Calidris acuminata,
Broad-billed Sandpiper,Calidris falcinellus,
Curlew Sandpiper,Calidris ferruginea,
Stilt Sandpiper,Calidris himantopus,
Red-necked Stint,Calidris ruficollis,
Long-toed Stint,Calidris subminuta,
Temminck's Stint,Calidris temminckii,
Sanderling,Calidris alba,
Dunlin,Calidris alpina,
Purple Sandpiper,Calidris maritima,
Baird's Sandpiper,Calidris bairdii,
Little Stint,Calidris minuta,
White-rumped Sandpiper,Calidris fuscicollis,
Least Sandpiper,Calidris minutilla,
Buff-breasted Sandpiper,Calidris subruficollis,
Pectoral Sandpiper,Calidris melanotos,
Western Sandpiper,Calidris mauri,
Semipalmated Sandpiper,Calidris pusilla,
Wilson's Phalarope,Phalaropus tricolor,
Red-necked Phalarope,Phalaropus lobatus,
Grey Phalarope,Phalaropus fulicarius,
Terek Sandpiper,Xenus cinereus,
Common Sandpiper,Actitis hypoleucos,
Spotted Sandpiper,Actitis macularius,
Green Sandpiper,Tringa ochropus,
Solitary Sandpiper,Tringa solitaria,
Grey-tailed Tattler,Tringa brevipes,
Spotted Redshank,Tringa erythropus,
Greater Yellowlegs,Tringa melanoleuca,
Greenshank,Tringa nebularia,
Lesser Yellowlegs,Tringa flavipes,
Marsh Sandpiper,Tringa stagnatilis,
Wood Sandpiper,Tringa glareola,
Redshank,Tringa totanus,
Jack Snipe,Lymnocryptes minimus,
Short-billed Dowitcher,Limnodromus griseus,
Long-billed Dowitcher,Limnodromus scolopaceus,
Woodcock,Scolopax rusticola,
Snipe,Gallinago gallinago,
Wilson's Snipe,Gallinago delicata,
Great Snipe,Gallinago media,
Collared Pratincole,Glareola pratincola,
Oriental Pratincole,Glareola maldivarum,
Black-winged Pratincole,Glareola nordmanni,
Cream-coloured Courser,Cursorius cursor,
Pomarine Skua,Stercorarius pomarinus,
Arctic Skua,Stercorarius parasiticus,
Long-tailed Skua,Stercorarius longicaudus,
Great Skua,Stercorarius skua,
Tufted Puffin,Fratercula cirrhata,
Puffin,Fratercula arctica,
Long-billed Murrelet,Brachyramphus perdix,
Black Guillemot,Cepphus grylle,
Ancient Murrelet,Synthliboramphus antiquus,
Razorbill,Alca torda,
Great Auk,Pinguinus impennis,
Little Auk,Alle alle,
Guillemot,Uria aalge,
Brünnich's Guillemot,Uria lomvia,
Aleutian Tern,Onychoprion aleuticus,
Sooty Tern,Onychoprion fuscatus,
Bridled Tern,Onychoprion anaethetus,
Little Tern,Sternula albifrons,
Gull-billed Tern,Gelochelidon nilotica,
Caspian Tern,Hydroprogne caspia,
Whiskered Tern,Chlidonias hybrida,
Black Tern,Chlidonias niger,
White-winged Black Tern,Chlidonias leucopterus,
Cabot's Tern,Sterna acuflavida,Thalasseus acuflavidus
Sandwich Tern,Sterna sandvicensis,Thalasseus sandvicensis
Royal Tern,Sterna maxima,Thalasseus maximus
Lesser Crested Tern,Sterna bengalensis,Thalasseus bengalensis
Forster's Tern,Sterna forsteri,
Common Tern,Sterna hirundo,
Roseate Tern,Sterna dougallii,
Arctic Tern,Sterna paradisaea,
Ivory Gull,Pagophila eburnea,
Sabine's Gull,Xema sabini,
Kittiwake,Rissa tridactyla,
Slender-billed Gull,Chroicocephalus genei,
Bonaparte's Gull,Chroicocephalus philadelphia,
Black-headed Gull,Chroicocephalus ridibundus,
Little Gull,Hydrocoloeus minutus,
Ross's Gull,Rhodostethia rosea,
Laughing Gull,Larus atricilla,Leucophaeus atricilla
Franklin's Gull,Larus pipixcan,Leucophaeus pipixcan
Mediterranean Gull,Larus melanocephalus,Ichthyaetus melanocephalus
Audouin's Gull,Larus audouinii,Ichthyaetus audouinii
Great Black-headed Gull,Larus ichthyaetus,Ichthyaetus ichthyaetus
Common Gull,Larus canus,
Ring-billed Gull,Larus delawarensis,
Lesser Black-backed Gull,Larus fuscus,
Herring Gull,Larus argentatus,
Yellow-legged Gull,Larus michahellis,
Caspian Gull,Larus cachinnans,
American Herring Gull,Larus smithsonianus,
Iceland Gull,Larus glaucoides,
Slaty-backed Gull,Larus schistisagus,
Glaucous-winged Gull,Larus glaucescens,
Glaucous Gull,Larus hyperboreus,
Great Black-backed Gull,Larus marinus,
Pallas's Sandgrouse,Syrrhaptes paradoxus,
Rock Dove / Feral Pigeon,Columba livia,
Stock Dove,Columba oenas,
Woodpigeon,Columba palumbus,
Collared Dove,Streptopelia decaocto,
Turtle Dove,Streptopelia turtur,
Rufous Turtle Dove,Streptopelia orientalis,
Mourning Dove,Zenaida macroura,
Great Spotted Cuckoo,Clamator glandarius,
Cuckoo,Cuculus canorus,
Black-billed Cuckoo,Coccyzus erythropthalmus,
Yellow-billed Cuckoo,Coccyzus americanus,
Barn Owl,Tyto alba,
Scops Owl,Otus scops,
Snowy Owl,Bubo scandiacus,
Hawk Owl,Surnia ulula,
Little Owl,Athene noctua,
Tawny Owl,Strix aluco,
Long-eared Owl,Asio otus,
Short-eared Owl,Asio flammeus,
Tengmalm's Owl,Aegolius funereus,
Nightjar,Caprimulgus europaeus,
Red-necked Nightjar,Caprimulgus ruficollis,
Egyptian Nightjar,Caprimulgus aegyptius,
Common Nighthawk,Chordeiles minor,
Chimney Swift,Chaetura pelagica,
Needle-tailed Swift,Hirundapus caudacutus,
Swift,Apus apus,
Pallid Swift,Apus pallidus,
Pacific Swift,Apus pacificus,
Alpine Swift Apus melba,Tachymarptis melba
Little Swift,Apus affinis,
Hoopoe,Upupa epops,
Blue-cheeked Bee-eater,Merops persicus,
Bee-eater,Merops apiaster,
Roller,Coracias garrulus,
Kingfisher,Alcedo atthis,
Belted Kingfisher,Megaceryle alcyon,
Wryneck,Jynx torquilla,
Green Woodpecker,Picus viridis,
Yellow-bellied Sapsucker,Sphyrapicus varius,
Great Spotted Woodpecker,Dendrocopos major,
Lesser Spotted Woodpecker,Dryobates minor,
Lesser Kestrel,Falco naumanni,
Kestrel,Falco tinnunculus,
American Kestrel,Falco sparverius,
Red-footed Falcon,Falco vespertinus,
Amur Falcon,Falco amurensis,
Merlin,Falco columbarius,
Hobby,Falco subbuteo,
Eleonora's Falcon,Falco eleonorae,
Gyr Falcon,Falco rusticolus,
Peregrine,Falco peregrinus,
Ring-necked Parakeet,Psittacula krameri,
Eastern Phoebe,Sayornis phoebe,
Acadian Flycatcher,Empidonax virescens,
Alder Flycatcher,Empidonax alnorum,
Eastern Kingbird,Tyrannus tyrannus,
Yellow-throated Vireo,Vireo flavifrons,
Philadelphia Vireo,Vireo philadelphicus,
Red-eyed Vireo,Vireo olivaceus,
Golden Oriole,Oriolus oriolus,
Brown Shrike,Lanius cristatus,
Isabelline Shrike,Lanius isabellinus,
Red-backed Shrike,Lanius collurio,
Long-tailed Shrike,Lanius schach,
Lesser Grey Shrike,Lanius minor,
Great Grey Shrike,Lanius excubitor,
Southern Grey Shrike,Lanius meridionalis,
Woodchat Shrike,Lanius senator,
Masked Shrike,Lanius nubicus,
Chough,Pyrrhocorax pyrrhocorax,
Magpie,Pica pica,
Jay,Garrulus glandarius,
Nutcracker,Nucifraga caryocatactes,
Jackdaw,Corvus monedula,Coloeus monedula
Rook,Corvus frugilegus,
Carrion Crow,Corvus corone,
Hooded Crow,Corvus cornix,
Raven,Corvus corax,
Goldcrest,Regulus regulus,
Firecrest,Regulus ignicapilla,
Penduline Tit,Remiz pendulinus,
Blue Tit,Cyanistes caeruleus
Great Tit,Parus major,
Crested Tit,Lophophanes cristatus,
Coal Tit,Periparus ater,
Willow Tit,Poecile montana,Poecile montanus
Marsh Tit,Poecile palustris,
Bearded Tit,Panurus biarmicus,
Woodlark,Lullula arborea,
White-winged Lark,Alauda leucoptera,
Skylark,Alauda arvensis,
Crested Lark,Galerida cristata,
Shore Lark,Eremophila alpestris,
Short-toed Lark,Calandrella brachydactyla,
Bimaculated Lark,Melanocorypha bimaculata,
Calandra Lark,Melanocorypha calandra,
Black Lark,Melanocorypha yeltoniensis,
Lesser Short-toed Lark,Alaudala rufescens,
Sand Martin,Riparia riparia,
Tree Swallow,Tachycineta bicolor,
Purple Martin,Progne subis,
Crag Martin,Ptyonoprogne rupestris,
Swallow,Hirundo rustica,
House Martin,Delichon urbicum,
Red-rumped Swallow,Cecropis daurica,
Cliff Swallow,Petrochelidon pyrrhonota,
Cetti's Warbler,Cettia cetti,
Long-tailed Tit,Aegithalos caudatus,
Eastern Crowned Warbler,Phylloscopus coronatus,
Green Warbler,Phylloscopus nitidus,
Greenish Warbler,Phylloscopus trochiloides,
Pale-legged Leaf Warbler,Phylloscopus tenellipes,
Arctic Warbler,Phylloscopus borealis,
Pallas's Warbler,Phylloscopus proregulus,
Yellow-browed Warbler,Phylloscopus inornatus,
Hume's Warbler,Phylloscopus humei,
Radde's Warbler,Phylloscopus schwarzi,
Dusky Warbler,Phylloscopus fuscatus,
Western Bonelli's Warbler,Phylloscopus bonelli,
Eastern Bonelli's Warbler,Phylloscopus orientalis,
Wood Warbler,Phylloscopus sibilatrix,
Chiffchaff,Phylloscopus collybita,
Iberian Chiffchaff,Phylloscopus ibericus,
Willow Warbler,Phylloscopus trochilus,
Blackcap,Sylvia atricapilla,
Garden Warbler,Sylvia borin,
Desert Warbler,Sylvia nana,
Barred Warbler,Sylvia nisoria,
Lesser Whitethroat,Sylvia curruca,
Western Orphean Warbler,Sylvia hortensis,
Rüppell's Warbler,Sylvia rueppelli,Sylvia ruppeli
Sardinian Warbler,Sylvia melanocephala,
Moltoni's Subalpine Warbler,Sylvia subalpina,
Subalpine Warbler,Sylvia cantillans,
Whitethroat,Sylvia communis,
Spectacled Warbler,Sylvia conspicillata,
Marmora's Warbler,Sylvia sarda,
Dartford Warbler,Sylvia undata,
Pallas's Grasshopper Warbler,Locustella certhiola,
Lanceolated Warbler,Locustella lanceolata,
Grasshopper Warbler,Locustella naevia,
River Warbler,Locustella fluviatilis,
Savi's Warbler,Locustella luscinioides,
Thick-billed Warbler,Iduna aedon,
Booted Warbler,Iduna caligata,
Sykes's Warbler,Iduna rama,
Eastern Olivaceous Warbler,Iduna pallida,
Olive-tree Warbler,Hippolais olivetorum,
Icterine Warbler,Hippolais icterina,
Melodious Warbler,Hippolais polyglotta,
Aquatic Warbler,Acrocephalus paludicola,
Sedge Warbler,Acrocephalus schoenobaenus,
Paddyfield Warbler,Acrocephalus agricola,
Blyth's Reed Warbler,Acrocephalus dumetorum,
Marsh Warbler,Acrocephalus palustris,
Reed Warbler,Acrocephalus scirpaceus,
Great Reed Warbler,Acrocephalus arundinaceus,
Fan-tailed Warbler,Cisticola juncidis,
Cedar Waxwing,Bombycilla cedrorum,
Waxwing,Bombycilla garrulus,
Wallcreeper,Tichodroma muraria,
Red-breasted Nuthatch,Sitta canadensis,
Nuthatch,Sitta europaea,
Treecreeper,Certhia familiaris,
Short-toed Treecreeper,Certhia brachydactyla,
Wren,Troglodytes troglodytes,
Northern Mockingbird,Mimus polyglottos,
Brown Thrasher,Toxostoma rufum,
Grey Catbird,Dumetella carolinensis,
Starling,Sturnus vulgaris,
Rose-coloured Starling,Pastor roseus,
Dipper,Cinclus cinclus,
White's Thrush,Zoothera dauma,
Varied Thrush,Ixoreus naevius,
Wood Thrush,Hylocichla mustelina,
Hermit Thrush,Catharus guttatus,
Swainson's Thrush,Catharus ustulatus,
Grey-cheeked Thrush,Catharus minimus,
Veery,Catharus fuscescens,
Siberian Thrush,Geokichla sibirica,
Ring Ouzel,Turdus torquatus,
Blackbird,Turdus merula,
Eyebrowed Thrush,Turdus obscurus,
Dusky Thrush,Turdus eunomus,
Naumann's Thrush,Turdus naumanni,
Black-throated Thrush,Turdus atrogularis,
Red-throated Thrush,Turdus ruficollis,
Fieldfare,Turdus pilaris,
Song Thrush,Turdus philomelos,
Redwing,Turdus iliacus,
Mistle Thrush,Turdus viscivorus,
American Robin,Turdus migratorius,
Rufous Bush Chat,Cercotrichas galactotes,
Brown Flycatcher,Muscicapa dauurica,
Spotted Flycatcher,Muscicapa striata,
Robin,Erithacus rubecula,
Siberian Blue Robin,Larvivora cyane,
Rufous-tailed Robin,Larvivora sibilans,
White-throated Robin,Irania gutturalis,
Thrush Nightingale,Luscinia luscinia,
Nightingale,Luscinia megarhynchos,
Bluethroat,Luscinia svecica,
Siberian Rubythroat,Calliope calliope,
Red-flanked Bluetail,Tarsiger cyanurus,
Red-breasted Flycatcher,Ficedula parva,
Taiga Flycatcher,Ficedula albicilla,
Collared Flycatcher,Ficedula albicollis,
Pied Flycatcher,Ficedula hypoleuca,
Black Redstart,Phoenicurus ochruros,
Redstart,Phoenicurus phoenicurus,
Moussier's Redstart,Phoenicurus moussieri,
Rock Thrush,Monticola saxatilis,
Blue Rock Thrush,Monticola solitarius,
Whinchat,Saxicola rubetra,
Siberian Stonechat,Saxicola maurus,
Stonechat,Saxicola rubicola,
Wheatear,Oenanthe oenanthe,
Isabelline Wheatear,Oenanthe isabellina,
Desert Wheatear,Oenanthe deserti,
Black-eared Wheatear,Oenanthe hispanica,
Pied Wheatear,Oenanthe pleschanka,
White-crowned Black Wheatear,Oenanthe leucopyga,
Alpine Accentor,Prunella collaris,
Siberian Accentor,Prunella montanella,
Dunnock,Prunella modularis,
House Sparrow,Passer domesticus,
Spanish Sparrow,Passer hispaniolensis,
Tree Sparrow,Passer montanus,
Rock Sparrow,Petronia petronia,
Yellow Wagtail,Motacilla flava,
Citrine Wagtail,Motacilla citreola,
Grey Wagtail,Motacilla cinerea,
Pied Wagtail,Motacilla alba,
Richard's Pipit,Anthus richardi,
Blyth's Pipit,Anthus godlewskii,
Tawny Pipit,Anthus campestris,
Olive-backed Pipit,Anthus hodgsoni,
Tree Pipit,Anthus trivialis,
Pechora Pipit,Anthus gustavi,
Meadow Pipit,Anthus pratensis,
Red-throated Pipit,Anthus cervinus,
Rock Pipit,Anthus petrosus,
Water Pipit,Anthus spinoletta,
Buff-bellied Pipit,Anthus rubescens,
Brambling,Fringilla montifringilla,
Chaffinch,Fringilla coelebs,
Evening Grosbeak,Hesperiphona vespertina,
Hawfinch,Coccothraustes coccothraustes,
Common Rosefinch,Erythrina erythrina,Carpodacus erythrinus
Pine Grosbeak,Pinicola enucleator,
Bullfinch,Pyrrhula pyrrhula,
Trumpeter Finch,Bucanetes githagineus,
Greenfinch,Chloris chloris,
Linnet,Linaria cannabina,
Twite,Linaria flavirostris,
Lesser Redpoll,Acanthis cabaret,Acanthis flammea cabaret
Common Redpoll,Acanthis flammea,
Arctic Redpoll,Acanthis hornemanni,
Two-barred Crossbill,Loxia leucoptera,
Crossbill,Loxia curvirostra,
Scottish Crossbill,Loxia scotica,
Parrot Crossbill,Loxia pytyopsittacus,
Goldfinch,Carduelis carduelis,
Citril Finch,Carduelis citrinella,
Serin,Serinus serinus,
Siskin,Spinus spinus,
Snow Bunting,Plectrophenax nivalis,
Lapland Bunting,Calcarius lapponicus,
Summer Tanager,Piranga rubra,
Scarlet Tanager,Piranga olivacea,
Rose-breasted Grosbeak,Pheucticus ludovicianus,
Indigo Bunting,Passerina cyanea,
Eastern Towhee,Pipilo erythrophthalmus,
Lark Sparrow,Chondestes grammacus,
Savannah Sparrow,Passerculus sandwichensis,
Song Sparrow,Melospiza melodia,
White-crowned Sparrow,Zonotrichia leucophrys,
White-throated Sparrow,Zonotrichia albicollis,
Dark-eyed Junco,Junco hyemalis,
Black-headed Bunting,Emberiza melanocephala,
Corn Bunting,Emberiza calandra,
Chestnut-eared Bunting,Emberiza fucata,
Rock Bunting,Emberiza cia,
Cretzschmar's Bunting,Emberiza caesia,
Ortolan Bunting,Emberiza hortulana,
Cirl Bunting,Emberiza cirlus,
Yellowhammer,Emberiza citrinella,
Pine Bunting,Emberiza leucocephalos,
Pallas's Reed Bunting,Emberiza pallasi,
Reed Bunting,Emberiza schoeniclus,
Yellow-breasted Bunting,Emberiza aureola,
Chestnut Bunting,Emberiza rutila,
Yellow-browed Bunting,Emberiza chrysophrys,
Little Bunting,Emberiza pusilla,
Rustic Bunting,Emberiza rustica,
Black-faced Bunting,Emberiza spodocephala,
Bobolink,Dolichonyx oryzivorus,
Brown-headed Cowbird,Molothrus ater,
Baltimore Oriole,Icterus galbula,
Ovenbird,Seiurus aurocapilla,
Northern Waterthrush,Parkesia noveboracensis,
Golden-winged Warbler,Vermivora chrysoptera,
Black-and-white Warbler,Mniotilta varia,
Tennessee Warbler,Oreothlypis peregrina,Leiothlypis peregrina
Common Yellowthroat,Geothlypis trichas,
Hooded Warbler,Setophaga citrina,
American Redstart,Setophaga ruticilla,
Cape May Warbler,Setophaga tigrina,
Northern Parula,Setophaga americana,
Magnolia Warbler,Setophaga magnolia,
Bay-breasted Warbler,Setophaga castanea,
Blackburnian Warbler,Setophaga fusca,
Yellow Warbler,Setophaga petechia,
Chestnut-sided Warbler,Setophaga pensylvanica,
Blackpoll Warbler,Setophaga striata,
Yellow-rumped Warbler,Setophaga coronata,
Wilson's Warbler,Cardellina pusilla,
